year,id,name,us_works_count,fetch_date
2010,2202,Aerospace Engineering,16075,2025-11-20 11:02:29
2011,2208,Electrical and Electronic Engineering,46689,2025-11-20 11:02:29
2011,2204,Biomedical Engineering,39687,2025-11-20 11:02:29
2011,2505,Materials Chemistry,28909,2025-11-20 11:02:29
2011,1702,Artificial Intelligence,25876,2025-11-20 11:02:29
2011,3107,"Atomic and Molecular Physics, and Optics",22624,2025-11-20 11:02:29
2011,1312,Molecular Biology,21614,2025-11-20 11:02:29
2011,1705,Computer Networks and Communications,21465,2025-11-20 11:02:29
2011,2303,Ecology,19099,2025-11-20 11:02:29
2011,2210,Mechanical Engineering,18534,2025-11-20 11:02:29
2011,2306,Global and Planetary Change,16973,2025-11-20 11:02:29
2012,2208,Electrical and Electronic Engineering,47522,2025-11-20 11:02:29
2012,2204,Biomedical Engineering,40799,2025-11-20 11:02:29
2012,2505,Materials Chemistry,29830,2025-11-20 11:02:29
2012,1702,Artificial Intelligence,25733,2025-11-20 11:02:29
2012,3107,"Atomic and Molecular Physics, and Optics",22730,2025-11-20 11:02:29
2012,1312,Molecular Biology,21595,2025-11-20 11:02:29
2012,1705,Computer Networks and Communications,20643,2025-11-20 11:02:29
2012,2303,Ecology,19340,2025-11-20 11:02:29
2012,2210,Mechanical Engineering,17908,2025-11-20 11:02:29
2012,2306,Global and Planetary Change,17380,2025-11-20 11:02:29
2013,2208,Electrical and Electronic Engineering,48014,2025-11-20 11:02:29
2013,2204,Biomedical Engineering,42412,2025-11-20 11:02:29
2013,2505,Materials Chemistry,30359,2025-11-20 11:02:29
2013,1702,Artificial Intelligence,26875,2025-11-20 11:02:29
2013,1312,Molecular Biology,22749,2025-11-20 11:02:29
2013,3107,"Atomic and Molecular Physics, and Optics",22318,2025-11-20 11:02:29
2013,2303,Ecology,21734,2025-11-20 11:02:29
2013,1705,Computer Networks and Communications,19994,2025-11-20 11:02:29
2013,2210,Mechanical Engineering,19730,2025-11-20 11:02:29
2013,2306,Global and Planetary Change,19288,2025-11-20 11:02:29
2014,2208,Electrical and Electronic Engineering,50661,2025-11-20 11:02:29
2014,2204,Biomedical Engineering,43631,2025-11-20 11:02:29
2014,2505,Materials Chemistry,32132,2025-11-20 11:02:29
2014,1702,Artificial Intelligence,27453,2025-11-20 11:02:29
2014,1312,Molecular Biology,23269,2025-11-20 11:02:29
2014,2303,Ecology,23202,2025-11-20 11:02:29
2014,3107,"Atomic and Molecular Physics, and Optics",22634,2025-11-20 11:02:29
2014,2306,Global and Planetary Change,21200,2025-11-20 11:02:29
2014,2210,Mechanical Engineering,20612,2025-11-20 11:02:29
2014,1705,Computer Networks and Communications,20012,2025-11-20 11:02:29
2015,2208,Electrical and Electronic Engineering,48872,2025-11-20 11:02:29
2015,2204,Biomedical Engineering,44068,2025-11-20 11:02:29
2015,2505,Materials Chemistry,32394,2025-11-20 11:02:29
2015,1702,Artificial Intelligence,28017,2025-11-20 11:02:29
2015,1312,Molecular Biology,23114,2025-11-20 11:02:29
2015,2303,Ecology,22960,2025-11-20 11:02:29
2015,2306,Global and Planetary Change,21277,2025-11-20 11:02:29
2015,3107,"Atomic and Molecular Physics, and Optics",21138,2025-11-20 11:02:29
2015,2210,Mechanical Engineering,20595,2025-11-20 11:02:29
2015,1705,Computer Networks and Communications,19082,2025-11-20 11:02:29
2016,2208,Electrical and Electronic Engineering,49299,2025-11-20 11:02:29
2016,2204,Biomedical Engineering,45257,2025-11-20 11:02:29
2016,2505,Materials Chemistry,32419,2025-11-20 11:02:29
2016,1702,Artificial Intelligence,27792,2025-11-20 11:02:29
2016,2303,Ecology,23484,2025-11-20 11:02:29
2016,1312,Molecular Biology,22622,2025-11-20 11:02:29
2016,3107,"Atomic and Molecular Physics, and Optics",22077,2025-11-20 11:02:29
2016,2306,Global and Planetary Change,21035,2025-11-20 11:02:29
2016,2210,Mechanical Engineering,20665,2025-11-20 11:02:29
2016,1705,Computer Networks and Communications,18470,2025-11-20 11:02:29
2017,2208,Electrical and Electronic Engineering,50192,2025-11-20 11:02:29
2017,2204,Biomedical Engineering,45188,2025-11-20 11:02:29
2017,2505,Materials Chemistry,32504,2025-11-20 11:02:29
2017,1702,Artificial Intelligence,30380,2025-11-20 11:02:29
2017,2303,Ecology,23537,2025-11-20 11:02:29
2017,1312,Molecular Biology,22129,2025-11-20 11:02:29
2017,2306,Global and Planetary Change,21717,2025-11-20 11:02:29
2017,2210,Mechanical Engineering,21097,2025-11-20 11:02:29
2017,3107,"Atomic and Molecular Physics, and Optics",20833,2025-11-20 11:02:29
2017,1705,Computer Networks and Communications,19067,2025-11-20 11:02:29
2018,2505,Materials Chemistry,59750,2025-11-20 11:02:29
2018,2208,Electrical and Electronic Engineering,50480,2025-11-20 11:02:29
2018,2204,Biomedical Engineering,47352,2025-11-20 11:02:29
2018,1702,Artificial Intelligence,34926,2025-11-20 11:02:29
2018,2303,Ecology,24909,2025-11-20 11:02:29
2018,1312,Molecular Biology,23003,2025-11-20 11:02:29
2018,2306,Global and Planetary Change,22694,2025-11-20 11:02:29
2018,2210,Mechanical Engineering,22162,2025-11-20 11:02:29
2018,3107,"Atomic and Molecular Physics, and Optics",21123,2025-11-20 11:02:29
2018,2202,Aerospace Engineering,18763,2025-11-20 11:02:29
2019,2208,Electrical and Electronic Engineering,51107,2025-11-20 11:02:29
2019,2204,Biomedical Engineering,49700,2025-11-20 11:02:29
2019,1702,Artificial Intelligence,44161,2025-11-20 11:02:29
2019,2505,Materials Chemistry,34519,2025-11-20 11:02:29
2019,2303,Ecology,26379,2025-11-20 11:02:29
2019,1312,Molecular Biology,24420,2025-11-20 11:02:29
2019,2306,Global and Planetary Change,23777,2025-11-20 11:02:29
2019,2210,Mechanical Engineering,22354,2025-11-20 11:02:29
2019,3107,"Atomic and Molecular Physics, and Optics",21822,2025-11-20 11:02:29
2019,3103,Astronomy and Astrophysics,20609,2025-11-20 11:02:29
2020,2304,Environmental Chemistry,65766,2025-11-20 11:02:29
2020,1908,Geophysics,60650,2025-11-20 11:02:29
